Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1993,.35,.37,.36,.28,.29,.23,.25,.11,.12,.23,.04,.18,.23,.24,.31,.31,.20,.13
1994,.26,.03,.29,.42,.28,.44,.31,.22,.32,.42,.45,.38,.32,.30,.16,.33,.32,.40
1995,.52,.80,.47,.47,.27,.44,.45,.46,.34,.48,.44,.26,.45,.46,.57,.40,.45,.42
1996,.24,.46,.33,.32,.28,.26,.37,.48,.25,.20,.39,.37,.33,.32,.32,.31,.37,.28
1997,.30,.41,.52,.34,.34,.54,.34,.42,.53,.61,.64,.59,.47,.45,.36,.40,.44,.59
1998,.59,.88,.63,.63,.68,.77,.66,.66,.42,.42,.43,.56,.61,.61,.69,.65,.70,.42
1999,.49,.64,.33,.32,.27,.37,.38,.32,.39,.35,.38,.42,.39,.40,.56,.30,.36,.37
2000,.25,.56,.56,.56,.36,.40,.39,.42,.40,.28,.31,.29,.40,.41,.41,.49,.41,.33
2001,.46,.44,.56,.51,.58,.52,.59,.50,.52,.51,.73,.56,.54,.52,.40,.55,.54,.59
2002,.78,.79,.88,.58,.64,.53,.61,.53,.64,.55,.59,.44,.63,.64,.71,.70,.56,.59
2003,.76,.58,.60,.55,.61,.48,.59,.65,.63,.74,.53,.76,.62,.60,.59,.59,.57,.63
2004,.59,.73,.64,.62,.38,.44,.27,.47,.51,.61,.73,.51,.54,.56,.69,.54,.39,.62
2005,.75,.60,.75,.68,.63,.65,.62,.62,.72,.75,.74,.69,.68,.67,.62,.69,.63,.74
2006,.56,.73,.63,.49,.50,.66,.55,.71,.65,.70,.74,.79,.64,.63,.66,.54,.64,.70
2007,1.03,.71,.73,.77,.70,.62,.61,.60,.60,.59,.59,.50,.67,.70,.84,.73,.61,.59
2008,.31,.38,.75,.54,.49,.50,.60,.48,.61,.67,.69,.55,.55,.54,.40,.59,.53,.66
2009,.65,.53,.55,.61,.65,.65,.71,.68,.73,.65,.82,.68,.66,.65,.58,.60,.68,.73
2010,.76,.84,.93,.85,.75,.68,.63,.68,.64,.71,.82,.45,.73,.75,.76,.84,.66,.72
2011,.52,.48,.65,.65,.53,.62,.71,.75,.58,.67,.59,.60,.61,.60,.49,.61,.69,.61
2012,.49,.50,.58,.72,.79,.65,.58,.64,.72,.79,.79,.53,.65,.65,.53,.70,.62,.77
2013,.71,.63,.68,.55,.61,.70,.61,.70,.77,.70,.84,.70,.68,.67,.62,.61,.67,.77
2014,.76,.55,.79,.81,.87,.68,.58,.82,.87,.81,.66,.79,.75,.74,.67,.82,.69,.78
2015,.85,.90,.96,.76,.80,.81,.74,.81,.85,1.09,1.06,1.16,.90,.87,.85,.84,.79,1.00
2016,1.18,1.37,1.35,1.12,.96,.81,.85,1.02,.91,.89,.91,.86,1.02,1.04,1.23,1.15,.89,.90
2017,1.02,1.14,1.17,.95,.92,.73,.82,.87,.78,.91,.88,.94,.93,.92,1.01,1.01,.81,.86
2018,.82,.85,.90,.90,.83,.79,.83,.76,.80,1.02,.83,.92,.86,.86,.87,.88,.79,.88
2019,.93,.96,1.18,1.02,.86,.93,.95,.95,.93,1.02,1.00,1.10,.99,.97,.94,1.02,.94,.98
2020,1.17,1.25,1.18,1.14,1.03,.92,.89,***,***,***,***,***,***,***,1.18,1.12,***,***
